tds,turbidity,ph,quality,quality_label
573.78,0.58,7.41,3,Excellent
138.53,0.37,7.53,3,Excellent
472.9,4.05,7.29,2,Good
158.89,1.03,7.27,3,Excellent
198.92,0.14,7.35,3,Excellent
572.46,6.25,6.82,2,Good
153.18,0.45,7.22,2,Good
226.8,0.19,7.15,3,Excellent
467.58,3.09,7.23,2,Good
817.42,2.35,7.24,2,Good
421.11,1.2,6.32,2,Good
427.84,35.03,9.08,1,Acceptable
181.83,0.97,7.18,3,Excellent
184.51,0.13,7.18,3,Excellent
161.11,0.1,7.07,3,Excellent
141.29,0.94,7.31,3,Excellent
411.58,2.04,7.64,2,Good
295.0,0.1,6.64,3,Excellent
628.52,4.92,7.11,2,Good
527.75,5.66,6.83,2,Good
644.53,5.75,7.0,1,Acceptable
1307.29,2.64,10.31,1,Acceptable
658.23,3.94,7.52,2,Good
1026.62,1.37,7.28,2,Good
975.26,8.13,5.45,0,Poor
388.64,5.08,7.49,2,Good
545.93,0.1,7.33,3,Excellent
778.19,10.0,5.63,0,Poor
382.41,9.95,7.04,2,Good
1028.17,5.7,5.81,0,Poor
435.46,2.77,6.83,2,Good
506.34,3.02,6.25,1,Acceptable
643.09,2.85,7.13,2,Good
191.28,0.67,7.79,3,Excellent
482.46,9.18,7.23,2,Good
887.94,8.64,9.66,1,Acceptable
183.95,3.39,6.57,2,Good
411.46,1.61,7.27,2,Good
152.43,0.46,7.26,3,Excellent
1399.8,10.71,9.64,0,Poor
239.5,0.94,7.12,3,Excellent
782.89,7.73,7.05,2,Good
862.82,1.19,6.65,2,Good
174.99,0.29,7.38,3,Excellent
1353.19,12.37,9.54,0,Poor
390.47,2.29,6.86,2,Good
541.51,3.08,6.76,2,Good
601.09,4.0,6.92,2,Good
571.02,4.11,7.13,2,Good
378.25,0.56,6.78,2,Good
591.38,1.83,6.48,2,Good
309.43,1.09,6.73,2,Good
412.89,2.39,6.82,2,Good
387.18,0.79,7.36,3,Excellent
470.12,8.25,7.05,2,Good
493.89,3.22,7.3,2,Good
159.71,1.6,7.28,3,Excellent
1635.06,0.36,9.26,1,Acceptable
251.15,0.9,7.03,2,Good
511.31,3.65,6.65,2,Good
522.5,0.16,7.66,2,Good
106.95,2.13,7.4,2,Good
200.97,0.89,7.13,3,Excellent
181.42,0.99,7.06,2,Good
515.76,0.22,7.25,3,Excellent
481.69,7.31,7.12,2,Good
1093.61,45.2,5.94,0,Poor
448.71,3.5,7.17,2,Good
209.84,1.45,6.63,2,Good
902.19,8.65,6.14,1,Acceptable
121.72,0.3,7.17,3,Excellent
365.1,10.12,7.07,2,Good
799.45,14.85,7.3,2,Good
372.73,2.11,6.79,2,Good
769.23,0.51,7.72,2,Good
95.65,0.1,7.45,3,Excellent
276.75,0.93,6.99,3,Excellent
