tds,turbidity,ph,quality_label
573.78,0.58,7.41,Excellent
138.53,0.37,7.53,Excellent
472.9,4.05,7.29,Good
158.89,1.03,7.27,Excellent
198.92,0.14,7.35,Excellent
572.46,6.25,6.82,Good
153.18,0.45,7.22,Good
226.8,0.19,7.15,Excellent
467.58,3.09,7.23,Good
817.42,2.35,7.24,Good
421.11,1.2,6.32,Good
427.84,35.03,9.08,Acceptable
181.83,0.97,7.18,Excellent
184.51,0.13,7.18,Excellent
161.11,0.1,7.07,Excellent
141.29,0.94,7.31,Excellent
411.58,2.04,7.64,Good
295.0,0.1,6.64,Excellent
628.52,4.92,7.11,Good
527.75,5.66,6.83,Good
644.53,5.75,7.0,Acceptable
1307.29,2.64,10.31,Acceptable
658.23,3.94,7.52,Good
1026.62,1.37,7.28,Good
975.26,8.13,5.45,Poor
388.64,5.08,7.49,Good
545.93,0.1,7.33,Excellent
778.19,10.0,5.63,Poor
382.41,9.95,7.04,Good
1028.17,5.7,5.81,Poor
435.46,2.77,6.83,Good
506.34,3.02,6.25,Acceptable
643.09,2.85,7.13,Good
191.28,0.67,7.79,Excellent
482.46,9.18,7.23,Good
887.94,8.64,9.66,Acceptable
183.95,3.39,6.57,Good
411.46,1.61,7.27,Good
152.43,0.46,7.26,Excellent
1399.8,10.71,9.64,Poor
239.5,0.94,7.12,Excellent
782.89,7.73,7.05,Good
862.82,1.19,6.65,Good
174.99,0.29,7.38,Excellent
1353.19,12.37,9.54,Poor
390.47,2.29,6.86,Good
541.51,3.08,6.76,Good
601.09,4.0,6.92,Good
571.02,4.11,7.13,Good
378.25,0.56,6.78,Good
591.38,1.83,6.48,Good
309.43,1.09,6.73,Good
412.89,2.39,6.82,Good
387.18,0.79,7.36,Excellent
470.12,8.25,7.05,Good
493.89,3.22,7.3,Good
159.71,1.6,7.28,Excellent
1635.06,0.36,9.26,Acceptable
251.15,0.9,7.03,Good
511.31,3.65,6.65,Good
522.5,0.16,7.66,Good
106.95,2.13,7.4,Good
200.97,0.89,7.13,Excellent
181.42,0.99,7.06,Good
515.76,0.22,7.25,Excellent
481.69,7.31,7.12,Good
1093.61,45.2,5.94,Poor
448.71,3.5,7.17,Good
209.84,1.45,6.63,Good
902.19,8.65,6.14,Acceptable
121.72,0.3,7.17,Excellent
365.1,10.12,7.07,Good
799.45,14.85,7.3,Good
372.73,2.11,6.79,Good
769.23,0.51,7.72,Good
95.65,0.1,7.45,Excellent
276.75,0.93,6.99,Excellent
456.47,2.98,6.51,Good
710.57,8.81,7.67,Acceptable
139.81,0.3,7.29,Excellent
268.48,0.9,7.31,Excellent
155.72,0.37,7.18,Excellent
1212.3,14.38,5.53,Poor
717.88,4.09,5.62,Acceptable
360.93,1.03,6.83,Good
1721.08,34.18,9.08,Poor
220.74,0.1,7.19,Excellent
938.64,9.32,5.48,Poor
122.69,0.1,7.45,Excellent
506.89,1.61,7.46,Good
349.71,6.04,6.79,Good
688.84,1.44,6.43,Acceptable
553.99,1.31,7.22,Good
444.68,3.53,6.95,Good
278.01,6.87,7.06,Good
197.87,0.1,7.6,Excellent
1743.29,1.69,5.7,Acceptable
997.36,1.08,9.34,Acceptable
455.52,0.3,6.78,Good
732.57,7.11,7.59,Acceptable
637.19,2.25,6.83,Good
596.02,4.17,6.6,Good
263.34,0.38,7.59,Excellent
566.27,4.99,5.36,Poor
431.32,0.56,6.66,Good
118.22,0.62,7.32,Excellent
513.32,5.89,6.19,Acceptable
53.23,1.45,7.11,Excellent
793.91,9.28,6.61,Acceptable
132.37,0.1,7.49,Excellent
131.48,0.36,7.24,Excellent
1417.25,45.12,9.33,Poor
175.14,0.97,7.39,Excellent
357.11,1.51,6.8,Good
443.27,0.18,7.05,Excellent
1019.82,14.52,9.43,Poor
158.63,0.18,7.31,Excellent
547.6,1.18,7.3,Good
494.11,4.38,6.9,Good
946.24,0.1,6.98,Good
260.02,0.63,7.44,Excellent
746.21,14.62,6.0,Acceptable
1115.23,17.65,5.74,Poor
671.69,0.49,8.78,Good
399.96,0.1,6.94,Good
477.94,2.03,7.34,Good
494.65,0.18,7.32,Excellent
449.69,0.76,6.5,Good
375.01,0.95,7.58,Acceptable
759.72,16.04,6.57,Acceptable
489.4,0.49,6.79,Good
423.57,1.27,7.01,Good
108.08,0.31,7.33,Excellent
414.64,3.74,6.96,Excellent
150.88,0.15,7.25,Excellent
1612.02,12.41,9.11,Poor
1542.56,17.79,6.01,Poor
525.87,0.41,6.8,Acceptable
198.5,1.14,7.27,Excellent
252.55,0.11,7.34,Excellent
829.55,13.22,5.34,Poor
397.33,1.73,6.66,Good
978.58,17.24,5.61,Poor
832.1,6.69,7.34,Good
621.08,2.26,6.88,Good
484.07,11.56,7.25,Good
591.58,3.31,6.47,Good
901.08,3.81,5.41,Acceptable
251.27,0.13,7.15,Excellent
841.91,10.27,6.0,Poor
823.29,3.13,6.39,Acceptable
449.92,3.0,7.02,Good
943.99,1.2,5.52,Acceptable
559.99,0.75,6.51,Good
119.96,0.1,7.18,Excellent
314.08,50.0,9.62,Acceptable
214.8,0.7,7.33,Excellent
682.65,23.78,7.79,Acceptable
223.84,0.38,7.02,Excellent
202.3,0.1,7.46,Excellent
1735.43,1.8,5.98,Acceptable
635.71,2.19,7.64,Good
311.83,5.21,7.31,Good
620.33,2.19,7.51,Good
881.61,5.52,9.28,Acceptable
203.12,0.59,7.15,Excellent
913.58,4.6,6.29,Acceptable
253.51,0.16,7.31,Excellent
188.98,0.65,7.15,Excellent
564.3,0.31,6.83,Good
